ts_event,symbol,bar_period,open,high,low,close,volume
2024-12-03 10:47:00+00:00,MNQZ4,MINUTE,21210.25,21213.0,21209.5,21212.25,115
2024-12-03 10:48:00+00:00,MNQZ4,MINUTE,21212.25,21213.75,21211.0,21211.25,132
2024-12-03 10:49:00+00:00,MNQZ4,MINUTE,21211.5,21212.25,21210.75,21211.0,42
2024-12-03 10:50:00+00:00,MNQZ4,MINUTE,21211.0,21211.5,21209.0,21210.5,127
2024-12-03 10:51:00+00:00,MNQZ4,MINUTE,21210.5,21211.75,21209.75,21210.5,143
2024-12-03 10:52:00+00:00,MNQZ4,MINUTE,21210.25,21210.75,21206.25,21206.5,152
2024-12-03 10:53:00+00:00,MNQZ4,MINUTE,21206.5,21207.75,21205.25,21206.75,196
2024-12-03 10:54:00+00:00,MNQZ4,MINUTE,21207.25,21207.75,21204.5,21206.75,197
2024-12-03 10:55:00+00:00,MNQZ4,MINUTE,21207.0,21209.25,21205.5,21207.75,215
2024-12-03 10:56:00+00:00,MNQZ4,MINUTE,21207.75,21208.5,21206.0,21208.5,70
2024-12-03 10:57:00+00:00,MNQZ4,MINUTE,21208.5,21211.0,21208.25,21209.0,202
2024-12-03 10:58:00+00:00,MNQZ4,MINUTE,21208.5,21208.75,21205.5,21206.25,113
2024-12-03 10:59:00+00:00,MNQZ4,MINUTE,21206.25,21206.75,21201.75,21202.75,454
2024-12-03 11:00:00+00:00,MNQZ4,MINUTE,21202.75,21204.0,21200.5,21202.5,425
2024-12-03 11:01:00+00:00,MNQZ4,MINUTE,21202.25,21204.0,21200.0,21201.0,298
2024-12-03 11:02:00+00:00,MNQZ4,MINUTE,21200.75,21202.5,21200.25,21201.5,163
2024-12-03 11:03:00+00:00,MNQZ4,MINUTE,21201.0,21201.0,21192.5,21194.0,1071
2024-12-03 11:04:00+00:00,MNQZ4,MINUTE,21194.25,21194.25,21189.25,21191.5,706
2024-12-03 11:05:00+00:00,MNQZ4,MINUTE,21191.75,21195.75,21191.0,21194.0,463
2024-12-03 11:06:00+00:00,MNQZ4,MINUTE,21194.25,21200.0,21194.0,21196.75,581
2024-12-03 11:07:00+00:00,MNQZ4,MINUTE,21196.5,21197.5,21194.75,21196.75,191
2024-12-03 11:08:00+00:00,MNQZ4,MINUTE,21195.75,21196.25,21194.5,21196.25,125
2024-12-03 11:09:00+00:00,MNQZ4,MINUTE,21195.75,21197.5,21191.0,21191.5,304
2024-12-03 11:10:00+00:00,MNQZ4,MINUTE,21192.5,21193.5,21191.0,21192.75,204
2024-12-03 11:11:00+00:00,MNQZ4,MINUTE,21193.25,21196.5,21193.0,21194.5,237
2024-12-03 11:12:00+00:00,MNQZ4,MINUTE,21194.25,21195.0,21192.25,21192.5,171
2024-12-03 11:13:00+00:00,MNQZ4,MINUTE,21192.5,21192.75,21190.25,21190.75,206
2024-12-03 11:14:00+00:00,MNQZ4,MINUTE,21191.0,21193.5,21187.25,21190.0,563
2024-12-03 11:15:00+00:00,MNQZ4,MINUTE,21190.25,21192.25,21188.25,21192.25,259
2024-12-03 11:16:00+00:00,MNQZ4,MINUTE,21191.75,21198.5,21191.75,21198.0,527
2024-12-03 11:17:00+00:00,MNQZ4,MINUTE,21198.0,21200.25,21196.0,21198.0,310
2024-12-03 11:18:00+00:00,MNQZ4,MINUTE,21197.75,21200.0,21197.75,21198.5,165
2024-12-03 11:19:00+00:00,MNQZ4,MINUTE,21198.0,21199.0,21196.25,21199.0,165
2024-12-03 11:20:00+00:00,MNQZ4,MINUTE,21198.5,21203.5,21198.5,21203.0,346
2024-12-03 11:21:00+00:00,MNQZ4,MINUTE,21203.0,21205.0,21202.75,21204.25,486
2024-12-03 11:22:00+00:00,MNQZ4,MINUTE,21204.75,21205.5,21201.25,21203.25,399
2024-12-03 11:23:00+00:00,MNQZ4,MINUTE,21203.5,21204.5,21202.0,21203.0,142
2024-12-03 11:24:00+00:00,MNQZ4,MINUTE,21203.0,21205.0,21203.0,21204.0,163
2024-12-03 11:25:00+00:00,MNQZ4,MINUTE,21203.5,21203.75,21199.75,21200.5,231
2024-12-03 11:26:00+00:00,MNQZ4,MINUTE,21200.25,21200.25,21197.0,21197.75,313
2024-12-03 11:27:00+00:00,MNQZ4,MINUTE,21197.0,21197.25,21193.0,21193.5,427
2024-12-03 11:28:00+00:00,MNQZ4,MINUTE,21193.5,21198.0,21192.75,21196.0,284
2024-12-03 11:29:00+00:00,MNQZ4,MINUTE,21195.5,21196.25,21192.5,21193.25,242
2024-12-03 11:30:00+00:00,MNQZ4,MINUTE,21193.75,21199.25,21192.5,21196.25,450
2024-12-03 11:31:00+00:00,MNQZ4,MINUTE,21196.5,21198.0,21194.75,21196.0,204
2024-12-03 11:32:00+00:00,MNQZ4,MINUTE,21196.25,21197.75,21194.75,21194.75,117
2024-12-03 11:33:00+00:00,MNQZ4,MINUTE,21194.75,21195.25,21191.75,21192.25,203
2024-12-03 11:34:00+00:00,MNQZ4,MINUTE,21192.0,21193.0,21191.0,21193.0,194
2024-12-03 11:35:00+00:00,MNQZ4,MINUTE,21193.0,21197.75,21192.0,21196.25,266
2024-12-03 11:36:00+00:00,MNQZ4,MINUTE,21196.5,21202.25,21196.25,21200.75,376
2024-12-03 11:37:00+00:00,MNQZ4,MINUTE,21201.0,21203.25,21200.25,21203.0,180
2024-12-03 11:38:00+00:00,MNQZ4,MINUTE,21203.0,21204.0,21199.25,21200.75,259
2024-12-03 11:39:00+00:00,MNQZ4,MINUTE,21201.0,21204.75,21201.0,21203.25,288
2024-12-03 11:40:00+00:00,MNQZ4,MINUTE,21203.0,21203.0,21199.75,21201.75,468
2024-12-03 11:41:00+00:00,MNQZ4,MINUTE,21202.25,21204.0,21199.0,21199.25,194
2024-12-03 11:42:00+00:00,MNQZ4,MINUTE,21199.25,21201.5,21198.5,21200.0,181
2024-12-03 11:43:00+00:00,MNQZ4,MINUTE,21200.25,21200.5,21198.0,21199.0,82
2024-12-03 11:44:00+00:00,MNQZ4,MINUTE,21198.75,21200.5,21198.0,21199.75,138
2024-12-03 11:45:00+00:00,MNQZ4,MINUTE,21199.75,21201.0,21199.5,21200.0,81
2024-12-03 11:46:00+00:00,MNQZ4,MINUTE,21200.0,21203.75,21199.75,21203.0,148
2024-12-03 11:47:00+00:00,MNQZ4,MINUTE,21203.0,21206.25,21202.75,21204.25,364
2024-12-03 11:48:00+00:00,MNQZ4,MINUTE,21204.75,21206.25,21204.25,21206.0,177
2024-12-03 11:49:00+00:00,MNQZ4,MINUTE,21206.0,21209.75,21205.25,21209.0,475
2024-12-03 11:50:00+00:00,MNQZ4,MINUTE,21209.25,21209.75,21207.0,21208.0,283
2024-12-03 11:51:00+00:00,MNQZ4,MINUTE,21208.0,21208.25,21205.0,21207.0,167
2024-12-03 11:52:00+00:00,MNQZ4,MINUTE,21206.0,21207.25,21205.0,21205.0,74
2024-12-03 11:53:00+00:00,MNQZ4,MINUTE,21205.75,21207.0,21205.0,21205.75,113
2024-12-03 11:54:00+00:00,MNQZ4,MINUTE,21205.5,21206.75,21204.25,21206.75,114
2024-12-03 11:55:00+00:00,MNQZ4,MINUTE,21206.75,21207.5,21206.0,21206.75,92
2024-12-03 11:56:00+00:00,MNQZ4,MINUTE,21207.0,21209.5,21206.75,21209.0,207
2024-12-03 11:57:00+00:00,MNQZ4,MINUTE,21209.25,21211.5,21209.0,21210.5,284
2024-12-03 11:58:00+00:00,MNQZ4,MINUTE,21210.75,21211.75,21208.5,21208.5,231
2024-12-03 11:59:00+00:00,MNQZ4,MINUTE,21208.25,21209.5,21206.75,21207.0,211
2024-12-03 12:00:00+00:00,MNQZ4,MINUTE,21207.25,21210.25,21207.0,21209.0,281
2024-12-03 12:01:00+00:00,MNQZ4,MINUTE,21208.75,21212.5,21208.5,21211.5,283
2024-12-03 12:02:00+00:00,MNQZ4,MINUTE,21211.25,21211.25,21210.0,21211.0,144
2024-12-03 12:03:00+00:00,MNQZ4,MINUTE,21210.5,21212.0,21209.25,21210.5,120
2024-12-03 12:04:00+00:00,MNQZ4,MINUTE,21210.5,21214.25,21210.5,21214.0,362
2024-12-03 12:05:00+00:00,MNQZ4,MINUTE,21214.25,21215.5,21212.5,21214.0,395
2024-12-03 12:06:00+00:00,MNQZ4,MINUTE,21214.25,21216.0,21213.75,21215.75,229
2024-12-03 12:07:00+00:00,MNQZ4,MINUTE,21215.5,21215.5,21213.5,21214.0,136
2024-12-03 12:08:00+00:00,MNQZ4,MINUTE,21214.0,21214.5,21202.5,21204.5,887
2024-12-03 12:09:00+00:00,MNQZ4,MINUTE,21205.5,21207.0,21204.5,21206.25,351
2024-12-03 12:10:00+00:00,MNQZ4,MINUTE,21206.5,21206.75,21204.0,21204.25,187
2024-12-03 12:11:00+00:00,MNQZ4,MINUTE,21204.5,21204.75,21197.0,21198.0,567
2024-12-03 12:12:00+00:00,MNQZ4,MINUTE,21198.0,21200.0,21195.25,21196.0,631
2024-12-03 12:13:00+00:00,MNQZ4,MINUTE,21196.75,21199.5,21196.75,21198.75,173
2024-12-03 12:14:00+00:00,MNQZ4,MINUTE,21198.75,21198.75,21194.5,21194.5,322
2024-12-03 12:15:00+00:00,MNQZ4,MINUTE,21195.0,21198.0,21186.25,21197.25,1224
2024-12-03 12:16:00+00:00,MNQZ4,MINUTE,21197.25,21197.5,21194.0,21197.5,307
2024-12-03 12:17:00+00:00,MNQZ4,MINUTE,21197.5,21199.75,21195.25,21199.25,252
2024-12-03 12:18:00+00:00,MNQZ4,MINUTE,21199.25,21199.75,21196.75,21199.0,236
2024-12-03 12:19:00+00:00,MNQZ4,MINUTE,21199.0,21199.75,21196.0,21197.25,194
